-32768	3
-32734	1
-32674	1
-32671	1
-32596	1
-32570	1
-32538	1
-32523	1
-32519	1
-32507	1
-32493	1
-32476	1
-32471	1
-32450	1
-32444	1
-32426	1
-32388	1
-32377	1
-32367	1
-32364	1
-32341	1
-32309	1
-32300	1
-32298	1
-32294	1
-32277	1
-32269	1
-32267	1
-32255	1
-32239	1
-32217	1
-32210	1
-32189	1
-32183	1
-32162	1
-32155	1
-32153	1
-32147	1
-32144	1
-32087	1
-32084	1
-32079	1
-32067	1
-32052	1
-32043	1
-32023	1
-32013	1
-32007	1
-31989	1
-31974	1
-31973	1
-31970	1
-31962	1
-31940	1
-31937	1
-31864	1
-31862	1
-31859	1
-31850	1
-31838	1
-31817	1
-31816	1
-31799	1
-31790	1
-31743	1
-31738	1
-31681	1
-31675	1
-31674	1
-31671	1
-31667	1
-31650	2
-31648	1
-31636	2
-31605	1
-31604	1
-31596	1
-31584	1
-31581	1
-31562	1
-31520	1
-31518	1
-31514	1
-31502	1
-31501	1
-31497	1
-31489	1
-31453	1
-31449	1
-31446	1
-31435	1
-31423	1
-31411	1
-31405	1
-31398	1
-31385	1
-31381	1
-31376	1
-31374	1
-31372	1
-31359	1
-31354	1
-31348	1
-31307	2
-31301	1
-31244	1
-31223	1
-31209	1
-31159	1
-31158	1
-31156	1
-31154	1
-31145	1
-31144	1
-31136	1
-31126	1
-31120	1
-31111	1
-31102	1
-31098	1
-31074	1
-31050	1
-31044	1
-31043	1
-31028	1
-31009	1
-30978	1
-30959	2
-30934	1
-30920	1
-30916	1
-30913	1
-30890	1
-30876	1
-30874	1
-30844	1
-30816	1
-30812	1
-30745	1
-30742	1
-30696	1
-30694	1
-30691	1
-30688	1
-30647	1
-30644	1
-30630	1
-30620	1
-30615	1
-30612	1
-30611	1
-30608	1
-30551	1
-30514	1
-30509	1
-30505	2
-30499	1
-30483	1
-30472	1
-30470	1
-30429	1
-30421	1
-30363	1
-30351	1
-30338	1
-30335	1
-30328	1
-30317	1
-30309	1
-30299	1
-30278	1
-30259	1
-30252	1
-30250	1
-30240	1
-30239	1
-30237	1
-30233	1
-30220	1
-30216	1
-30210	1
-30207	1
-30196	1
-30191	1
-30189	1
-30188	1
-30186	1
-30180	1
-30173	1
-30168	1
-30128	1
-30104	1
-30100	1
-30097	1
-30094	1
-30077	1
-30064	1
-30062	1
-30023	1
-30004	1
-29999	1
-29998	1
-29993	1
-29963	1
-29960	1
-29959	1
-29918	1
-29915	1
-29913	1
-29906	1
-29904	1
-29902	1
-29895	1
-29883	1
-29878	1
-29848	1
-29841	1
-29828	1
-29821	1
-29812	1
-29807	1
-29799	1
-29785	1
-29777	2
-29765	1
-29758	1
-29746	1
-29739	1
-29713	1
-29712	1
-29707	1
-29690	1
-29688	2
-29683	1
-29682	1
-29679	1
-29678	1
-29671	1
-29646	1
-29643	1
-29617	1
-29614	1
-29609	1
-29578	1
-29566	1
-29563	1
-29555	1
-29472	1
-29471	1
-29464	1
-29462	1
-29457	1
-29448	1
-29427	1
-29419	1
-29412	1
-29378	1
-29340	2
-29339	1
-29338	1
-29336	1
-29333	1
-29331	1
-29308	1
-29304	1
-29287	1
-29284	1
-29281	1
-29280	1
-29279	1
-29266	1
-29247	1
-29233	1
-29222	1
-29219	1
-29216	1
-29208	1
-29193	1
-29189	1
-29187	1
-29181	1
-29161	1
-29148	1
-29142	1
-29137	1
-29136	1
-29127	1
-29125	1
-29120	1
-29112	1
-29088	1
-29086	1
-29082	1
-29080	1
-29056	1
-29034	1
-29025	1
-29015	2
-29006	2
-29005	1
-29004	1
-29003	1
-28984	1
-28952	2
-28944	1
-28940	1
-28939	1
-28925	1
-28913	1
-28901	1
-28890	1
-28857	1
-28845	1
-28841	1
-28834	1
-28820	1
-28814	1
-28804	1
-28799	1
-28798	1
-28774	1
-28772	1
-28766	1
-28762	1
-28746	1
-28741	1
-28740	1
-28737	1
-28725	1
-28709	1
-28707	1
-28705	1
